# nodes,# edges,#is feasible,# crosses,qpu_access_time,charge_time,run_time
11,10,yes,0.0,32031,5000000,5347752
11,11,yes,0.0,16008,5000000,5001280
11,12,yes,0.0,16002,5000000,5312225
11,13,yes,1.0,32026,5000000,5601438
11,14,yes,1.0,32005,5000000,5366315
11,15,yes,1.0,15926,5000000,5001249
11,16,yes,2.0,32056,5000000,5276168
11,17,yes,4.0,31903,5000000,5326548
11,18,yes,3.0,31984,5000000,5430501
11,19,yes,4.0,32004,5000000,5394247
11,20,yes,9.0,31893,5000000,5452815
11,21,yes,8.0,32009,5000000,5512620
11,22,yes,14.0,16001,5000000,5001341
11,23,yes,12.0,31909,5000000,5799990
11,24,yes,18.0,16005,5000000,5276957
11,25,yes,25.0,31922,5000000,5634341
11,26,yes,30.0,15928,5000000,5001160
11,27,yes,23.0,31954,5000000,5495350
12,11,yes,0.0,32020,5000000,5274359
12,12,yes,0.0,31995,5000000,5301492
12,13,yes,1.0,15930,5000000,5172821
12,14,yes,0.0,32023,5000000,5266076
12,15,yes,1.0,16038,5000000,5087581
12,16,yes,0.0,32030,5000000,5393205
12,17,yes,1.0,31933,5000000,5365615
12,18,yes,3.0,32049,5000000,5589524
12,19,yes,9.0,31906,5000000,5002475
12,20,yes,6.0,32034,5000000,5422191
12,21,yes,9.0,15917,5000000,5001231
12,22,yes,14.0,32049,5000000,5616911
12,23,yes,10.0,15926,5000000,5489576
12,24,yes,17.0,16061,5000000,5372317
12,25,yes,13.0,16046,5000000,5523210
12,26,yes,16.0,16028,5000000,5096589
12,27,yes,24.0,15926,5000000,5002888
12,28,yes,20.0,16011,5000000,5197725
12,29,yes,25.0,16011,5000000,5571622
12,30,yes,30.0,16005,5000000,5060492
13,12,yes,0.0,31941,5000000,5365330
13,13,yes,0.0,31923,5000000,5071114
13,14,yes,0.0,16004,5000000,5581599
13,15,yes,0.0,32085,5000000,5692934
13,16,yes,1.0,15999,5000000,5001221
13,17,yes,1.0,31931,5000000,5082699
13,18,yes,6.0,32016,5000000,5488985
13,19,yes,7.0,16025,5000000,5001417
13,20,yes,3.0,16003,5000000,5096856
13,21,yes,7.0,16024,5000000,5415398
13,22,yes,8.0,32017,5000000,5584650
13,23,yes,15.0,16003,5000000,5002430
13,24,yes,7.0,31983,5000000,5566000
13,25,yes,21.0,15912,5000000,5002452
13,26,yes,13.0,16041,5000000,5139147
13,27,yes,17.0,15921,5000000,5001196
13,28,yes,26.0,31926,5000000,5429968
13,29,yes,36.0,16044,5000000,5207994
13,30,yes,32.0,15915,5000000,5194991
13,31,yes,33.0,16037,5000000,5104065
13,32,yes,30.0,15915,5000000,5003615
13,33,yes,33.0,16005,5000000,5002682
14,13,yes,0.0,32035,5000000,5504496
14,14,yes,0.0,16009,5000000,5082218
14,15,yes,0.0,32017,5000000,5352576
14,16,yes,1.0,16007,5000000,5057059
14,17,yes,3.0,15924,5000000,5323293
14,18,yes,2.0,16001,5000000,5072536
14,19,yes,2.0,16026,5000000,5001208
14,20,yes,9.0,32058,5000000,5659698
14,21,yes,7.0,16027,5000000,5217996
14,22,yes,10.0,32049,5000000,5537214
14,23,yes,3.0,16003,5000000,5001287
14,24,yes,16.0,16056,5000000,5270178
14,25,yes,8.0,16012,5000000,5001130
14,26,yes,24.0,15996,5000000,5001054
14,27,yes,27.0,31949,5000000,5110798
14,28,yes,17.0,16054,5000000,5001195
14,29,yes,32.0,15979,5000000,5042139
14,30,yes,40.0,15918,5000000,5001972
14,31,yes,29.0,31946,5000000,5684294
14,32,yes,44.0,15912,5000000,5001002
14,33,yes,36.0,16001,5000000,5168882
14,34,yes,33.0,15917,5000000,5165342
14,35,yes,67.0,15914,5000000,5075902
14,36,yes,50.0,16014,5000000,5188127
15,14,yes,0.0,15999,5000000,5001250
15,15,yes,0.0,32014,5000000,5405062
15,16,yes,0.0,31972,5000000,5391759
15,17,yes,5.0,31980,5000000,5419181
15,18,yes,1.0,32016,5000000,5790195
15,19,yes,6.0,32080,5000000,5423390
15,20,yes,6.0,16004,5000000,5146116
15,21,yes,7.0,32036,5000000,5395267
15,22,yes,3.0,31885,5000000,5412534
15,23,yes,7.0,16039,5000000,5003137
15,24,yes,12.0,16014,5000000,5001396
15,25,yes,8.0,16034,5000000,5001678
15,26,yes,10.0,16014,5000000,5073797
15,27,yes,25.0,16047,5000000,5358739
15,28,yes,22.0,15929,5000000,5001652
15,29,yes,27.0,16012,5000000,5003571
15,30,yes,16.0,16045,5000000,5205756
15,31,yes,73.0,16027,5000000,5105490
15,32,yes,31.0,16024,5000000,5414163
15,33,yes,32.0,31982,5000000,6009674
15,34,yes,42.0,16030,5000000,5146587
15,35,yes,52.0,16037,5000000,5436140
15,36,yes,64.0,15901,5000000,5020533
15,37,no,//,16005,5000000,5333927
15,38,no,//,16043,5000000,5438109
15,39,no,//,31913,5000000,5942725
# nodes,# edges,#is feasible,# crosses,qpu_access_time,charge_time,run_time
15,36,no,//,16005,5000000,5211390
15,37,no,//,16005,5000000,5547541
15,38,no,//,16022,5000000,5673433
15,39,no,//,16026,5000000,5287815
