# nodes,# edges,#is feasible,# crosses,qpu_access_time,charge_time,run_time
15,37,yes,0.0,16049,5000000,5186030
15,38,yes,0.0,15836,5000000,5000676
15,39,yes,0.0,15837,5000000,5000682
16,15,yes,0.0,32036,5000000,5825575
16,16,yes,0.0,31908,5000000,5412735
16,17,yes,0.0,32021,5000000,5514227
16,18,yes,0.0,32035,5000000,5202596
16,19,yes,0.0,32020,5000000,5466928
16,20,yes,0.0,32049,5000000,5539677
16,21,yes,0.0,16032,5000000,5381317
16,22,yes,0.0,16025,5000000,5018912
16,23,yes,0.0,15926,5000000,5000972
16,24,yes,0.0,16037,5000000,5476281
16,25,yes,0.0,32050,5000000,5403655
16,26,yes,0.0,16002,5000000,5038881
16,27,yes,0.0,15836,5000000,5001524
16,28,yes,0.0,32049,5000000,5740994
16,29,yes,0.0,31898,5000000,5706027
16,30,yes,0.0,16047,5000000,5330314
16,31,yes,0.0,15837,5000000,5028428
16,32,yes,0.0,16047,5000000,5120071
16,33,yes,0.0,16051,5000000,5290745
16,34,yes,0.0,16049,5000000,5000642
16,35,yes,0.0,16045,5000000,5270285
16,36,yes,0.0,16030,5000000,5002090
16,37,yes,0.0,16055,5000000,5274291
16,38,yes,0.0,16048,5000000,5244634
16,39,yes,0.0,16048,5000000,5436759
16,40,yes,0.0,16048,5000000,5000804
16,41,yes,0.0,16048,5000000,5032633
16,42,no,//,16047,5000000,5177083
17,16,yes,0.0,32001,5000000,5530875
17,17,yes,0.0,15980,5000000,5001082
17,18,yes,0.0,32000,5000000,5495328
17,19,yes,0.0,16013,5000000,5159318
17,20,yes,0.0,32010,5000000,5511878
17,21,yes,0.0,16006,5000000,5073847
17,22,yes,0.0,16047,5000000,5386031
17,23,yes,0.0,31905,5000000,5477829
17,24,yes,0.0,16010,5000000,5028535
17,25,yes,0.0,16001,5000000,5002748
17,26,yes,0.0,16001,5000000,5063530
17,27,yes,0.0,16046,5000000,5153938
17,28,yes,0.0,16051,5000000,5559634
17,29,yes,0.0,16030,5000000,5000819
17,30,yes,0.0,15998,5000000,5000746
17,31,yes,0.0,16045,5000000,5342213
17,32,yes,0.0,16048,5000000,5177303
17,33,yes,0.0,16006,5000000,5002247
17,34,yes,0.0,16051,5000000,5355558
17,35,yes,0.0,16002,5000000,5002038
17,36,yes,0.0,31673,5000000,5194986
17,37,yes,0.0,16047,5000000,5001958
17,38,yes,0.0,16047,5000000,5456726
17,39,yes,0.0,16051,5000000,5169483
17,40,yes,0.0,16023,5000000,5116197
17,41,yes,0.0,16008,5000000,5054013
17,42,yes,0.0,16032,5000000,5245608
17,43,yes,0.0,16050,5000000,5567918
17,44,yes,0.0,16045,5000000,5520943
17,45,yes,0.0,16049,5000000,5361635
18,17,yes,0.0,16024,5000000,5013597
18,18,yes,0.0,16007,5000000,5001114
18,19,yes,0.0,32064,5000000,5359232
18,20,yes,0.0,16028,5000000,5045514
18,21,yes,0.0,16000,5000000,5045829
18,22,yes,0.0,16028,5000000,5295200
18,23,yes,0.0,15982,5000000,5000981
18,24,yes,0.0,16044,5000000,5189123
18,25,yes,0.0,16041,5000000,5112049
18,26,yes,0.0,16041,5000000,5406372
18,27,yes,0.0,16042,5000000,5004740
18,28,yes,0.0,16023,5000000,5082033
18,29,yes,0.0,15836,5000000,5098562
18,30,yes,0.0,16041,5000000,5000740
18,31,yes,0.0,16027,5000000,5101634
18,32,yes,0.0,16047,5000000,5212758
18,33,yes,0.0,16046,5000000,5119005
18,34,yes,0.0,15836,5000000,5210370
18,35,yes,0.0,16027,5000000,5117663
18,36,yes,0.0,16003,5000000,5077457
18,37,yes,0.0,16005,5000000,5068831
18,38,yes,0.0,15844,5000000,5002284
18,39,yes,0.0,16047,5000000,5492111
18,40,yes,0.0,15837,5000000,5018937
18,41,yes,0.0,15837,5000000,5002367
18,42,yes,0.0,16045,5000000,5435940
18,43,yes,0.0,16028,5000000,5228536
18,44,yes,0.0,16049,5000000,5122912
18,45,yes,0.0,15836,5000000,5331862
18,46,yes,0.0,15836,5000000,5000649
18,47,yes,0.0,15844,5000000,5000633
18,48,no,//,15836,5000000,5128318
19,18,yes,0.0,16010,5000000,5036287
19,19,yes,0.0,16011,5000000,5021299
19,20,yes,0.0,16010,5000000,5015038
19,21,yes,0.0,16001,5000000,5002576
19,22,yes,0.0,16011,5000000,5240450
19,23,yes,0.0,16001,5000000,5002467
19,24,yes,0.0,16006,5000000,5000751
19,25,yes,0.0,15999,5000000,5000903
19,26,yes,0.0,16047,5000000,5349672
19,27,yes,0.0,16002,5000000,5055676
19,28,yes,0.0,16002,5000000,5001907
19,29,yes,0.0,16032,5000000,5086560
19,30,yes,0.0,16031,5000000,5088789
19,31,yes,0.0,16028,5000000,5014270
19,32,yes,0.0,16044,5000000,5268472
19,33,yes,0.0,16053,5000000,5524314
19,34,yes,0.0,16050,5000000,5308779
19,35,yes,0.0,15836,5000000,5001951
19,36,yes,0.0,16051,5000000,5423770
19,37,yes,0.0,15844,5000000,5065761
19,38,yes,0.0,16047,5000000,5293802
19,39,yes,0.0,15844,5000000,5004661
19,40,yes,0.0,16004,5000000,5125750
19,41,yes,0.0,15836,5000000,5024302
19,42,yes,0.0,16050,5000000,5600117
19,43,yes,0.0,15836,5000000,5264844
19,44,yes,0.0,16002,5000000,5237939
19,45,yes,0.0,16045,5000000,5197010
19,46,yes,0.0,16051,5000000,5437289
19,47,yes,0.0,16048,5000000,5419762
19,48,no,//,16000,5000000,5559328
19,49,yes,0.0,16052,5000000,5460003
19,50,yes,0.0,15844,5000000,5263397
